equipe1;equipe2;but1;but2;vict1;null;vict2
Strasbourg;Lorient;1;1;2.9;2.15;4.45
Saint-Étienne;Dijon;0;1;1.3;6.0;9.5
Rennes;Nîmes;2;0;1.25;6.75;11.0
Reims;Bordeaux;1;2;2.65;3.0;3.1
Nantes;Montpellier;1;2;1.53;4.6;6.0
Metz;OlympiqueMarseille;1;1;3.75;3.75;2.0
OlympiqueLyonnais;Nice;2;3;1.22;7.75;11.0
Lens;Monaco;0;0;5.5;4.5;1.59
Brest;PSG;0;2;11.0;7.5;1.22
AngersSCO;Lille;1;2;10.0;5.25;1.34
Dijon;Nantes;0;4;8.75;4.9;1.39
Monaco;Rennes;2;1;1.8;3.8;4.65
Bordeaux;Lens;3;0;3.6;3.65;2.05
Lille;Saint-Étienne;0;0;1.42;4.7;8.25
OlympiqueMarseille;AngersSCO;3;2;1.45;4.6;7.25
Lorient;Metz;2;1;1.69;3.8;5.5
Montpellier;Brest;0;0;2.4;3.9;2.75
Nîmes;OlympiqueLyonnais;2;5;8.0;6.0;1.34
PSG;Reims;4;0;1.12;10.5;18.0
Nice;Strasbourg;0;2;3.4;3.55;2.15
Rennes;PSG;1;1;4.35;3.9;1.6
Reims;Monaco;0;1;9.0;4.5;1.4
AngersSCO;Dijon;3;0;1.65;3.6;4.66
Metz;Nîmes;0;3;2.07;3.35;3.14
Nice;Brest;3;2;2.12;3.02;3.36
Strasbourg;Montpellier;2;3;2.08;3.33;3.13
Saint-Étienne;OlympiqueMarseille;1;0;2.51;3.19;2.57
OlympiqueLyonnais;Lorient;4;1;1.42;5.1;6.6
Nantes;Bordeaux;3;0;2.03;3.55;3.55
Lens;Lille;0;3;4.1;3.5;1.95
Monaco;OlympiqueLyonnais;2;3;2.5;3.25;2.85
Montpellier;Saint-Étienne;1;2;2.32;3.25;3.15
Brest;Nantes;1;4;2.4;3.3;2.8
Dijon;Metz;1;5;4.1;3.4;1.85
Nîmes;Reims;2;2;2.5;3.25;2.7
Lorient;AngersSCO;2;0;2.15;3.25;3.5
Bordeaux;Rennes;1;0;3.5;3.3;2.0
Lille;Nice;2;0;1.42;4.75;8.0
PSG;Lens;2;1;1.36;5.25;8.0
OlympiqueMarseille;Strasbourg;1;1;1.8;3.75;4.33
OlympiqueLyonnais;Lille;2;3;2.1;3.5;3.6
AngersSCO;Monaco;0;1;8.75;4.9;1.39
Lens;Nîmes;2;1;1.74;3.65;5.25
Lorient;Bordeaux;4;1;2.25;3.4;3.4
Strasbourg;Nantes;1;2;2.25;3.45;3.35
Rennes;Dijon;5;1;1.34;5.5;9.0
Nice;Montpellier;3;1;2.65;3.38;2.72
Metz;PSG;1;3;12.0;6.25;1.25
Saint-Étienne;Brest;1;2;2.05;3.5;3.6
Reims;OlympiqueMarseille;1;3;3.75;3.45;2.1
Nantes;OlympiqueLyonnais;1;2;6.25;4.5;1.53
